Model,Dataset,1shot_mean,1shot_std,5shot_mean,5shot_std,10shot_mean,10shot_std
FT-FSOD,TXL-PBC,50.05,5.58,65.17,3.54,70.16,1.81
FT-FSOD,SIXray-D,28.95,2.85,37.94,2.63,42.68,1.26
FT-FSOD,HIT-UAV,11.98,2.14,17.83,2.75,20.09,2.95
CD-ViTO,TXL-PBC,23.90,8.63,45.64,4.37,49.60,3.96
CD-ViTO,SIXray-D,2.89,1.94,7.47,1.86,11.59,1.38
CD-ViTO,HIT-UAV,3.09,1.44,7.30,1.53,8.71,1.26
DE-ViT-FT,TXL-PBC,15.49,8.04,40.87,4.45,47.46,2.93
DE-ViT-FT,SIXray-D,0.78,0.57,3.91,1.58,7.58,1.35
DE-ViT-FT,HIT-UAV,1.80,1.03,6.62,1.04,7.29,1.17
FSOD-VFM,TXL-PBC,40.65,1.05,42.69,1.00,43.26,0.49
FSOD-VFM,SIXray-D,9.81,5.05,13.51,1.41,13.81,1.26
FSOD-VFM,HIT-UAV,8.93,2.62,13.15,1.47,14.35,1.47
